timestamp(ms);XKF1[0].PN;XKF1[1].PN;XKF1[0].PE;XKF1[1].PE;POSPN;POSPE2;POSPE
167829.04;-28.46803474;-28.54891014099121;-9.139741898;-8.996977806091309;0;-4.064834118;0
167929.04;-28.41228104;-28.495834350585938;-9.280543327;-9.132088661193848;0.0557537;-4.205635548;0.140801429
168029.04;-28.35604668;-28.439899444580078;-9.419722557;-9.270374298095703;0.11198806;-4.344814777;0.001622199
168129.04;-28.29660606;-28.382972717285156;-9.55854702;-9.403754234313965;0.17142868;-4.48363924;0.137202264
168229.04;-28.23675919;-28.323036193847656;-9.694019318;-9.538740158081055;0.23127555;-4.619111538;0.001729966
168329.04;-28.17311096;-28.26178550720215;-9.825824738;-9.66568660736084;0.29492378;-4.750916958;0.130075454
168429.04;-28.10754013;-28.196813583374023;-9.950622559;-9.7898530960083;0.36049461;-4.875714779;0.005277633
168529.04;-28.03502464;-28.12717628479004;-10.07001114;-9.904637336730957;0.4330101;-4.995103359;0.114110948
168629.04;-27.9583416;-28.051889419555664;-10.18126869;-10.016725540161133;0.50969314;-5.106360912;0.002853398
168729.04;-27.8739872;-27.971927642822266;-10.28592491;-10.117422103881836;0.59404754;-5.211017132;0.101802822
168829.04;-27.78937531;-27.888996124267578;-10.38162327;-10.214296340942383;0.67865943;-5.306715488;0.006104462
168929.04;-27.69673729;-27.80086326599121;-10.46971989;-10.298645973205566;0.77129745;-5.394812107;0.081992158
169029.04;-27.59972;-27.70525360107422;-10.55047607;-10.380578994750977;0.86831474;-5.475568295;0.001235978
169129.04;-27.49278641;-27.602930068969727;-10.62172127;-10.447759628295898;0.97524833;-5.546813488;0.070009222
169229.04;-27.3819828;-27.493175506591797;-10.6774435;-10.504958152770996;1.08605194;-5.602535725;0.014286992
169329.04;-27.26464844;-27.379629135131836;-10.72106361;-10.545331001281738;1.2033863;-5.646155834;0.029333118
169429.04;-27.14344978;-27.25919532775879;-10.7536869;-10.579983711242676;1.32458496;-5.678779125;0.003290172
169529.04;-27.01983643;-27.139171600341797;-10.77568245;-10.599099159240723;1.44819831;-5.70077467;0.018705378
169629.04;-26.90192604;-27.02248191833496;-10.78014278;-10.605925559997559;1.5661087;-5.705235004;0.014245048
169729.04;-26.78318214;-26.90718650817871;-10.77414989;-10.597724914550781;1.6848526;-5.699242115;0.020237938
169829.04;-26.66390991;-26.78812026977539;-10.75610924;-10.582626342773438;1.80412483;-5.681201458;0.038278588
169929.04;-26.54499435;-26.671512603759766;-10.72887802;-10.55372428894043;1.92304039;-5.653970242;0.065509808
170029.04;-26.43233299;-26.558076858520508;-10.68830395;-10.516653060913086;2.03570175;-5.613396168;0.106083878
170129.04;-26.32234764;-26.449691772460938;-10.63844204;-10.466066360473633;2.1456871;-5.56353426;0.155945788
170229.04;-26.21561241;-26.34123992919922;-10.57837582;-10.410345077514648;2.25242233;-5.503468037;0.216012008
170329.04;-26.11343384;-26.239727020263672;-10.51030064;-10.342381477355957;2.3546009;-5.435392857;0.284087188
170429.04;-26.02182007;-26.14516258239746;-10.42973995;-10.26684284210205;2.44621467;-5.354832172;0.364647878
170529.04;-25.93688393;-26.059616088867188;-10.34219074;-10.180112838745117;2.53115081;-5.267282963;0.452197088
170629.04;-25.86268806;-25.981931686401367;-10.24651337;-10.089762687683105;2.60534668;-5.171605587;0.547874458
170729.04;-25.79632187;-25.914283752441406;-10.14570332;-9.990906715393066;2.67171287;-5.070795536;0.648684508
170829.04;-25.73776627;-25.850341796875;-10.03803158;-9.889359474182129;2.73026847;-4.963123798;0.756356248
170929.04;-25.6871376;-25.796419143676758;-9.927443504;-9.780813217163086;2.78089714;-4.852535725;0.866944324
171029.04;-25.64630318;-25.750078201293945;-9.809072495;-9.668633460998535;2.82173156;-4.734164715;0.985315333
171129.04;-25.61472702;-25.715055465698242;-9.689109802;-9.55091667175293;2.85330772;-4.614202023;1.105278026
171229.04;-25.59765625;-25.692241668701172;-9.56551075;-9.433449745178223;2.87037849;-4.49060297;1.228877078
171329.04;-25.59057808;-25.680822372436523;-9.443365097;-9.313846588134766;2.87745666;-4.368457317;1.351022731
171429.04;-25.5984211;-25.682737350463867;-9.315737724;-9.192547798156738;2.86961364;-4.240829945;1.478650104
171529.04;-25.61634064;-25.695966720581055;-9.190799713;-9.070307731628418;2.8516941;-4.115891933;1.603588115
171629.04;-25.65201759;-25.72541046142578;-9.068492889;-8.953933715820312;2.81601715;-3.99358511;1.725894939
171729.04;-25.69641113;-25.76447868347168;-8.952061653;-8.840476989746094;2.77162361;-3.877153873;1.842326175
171829.04;-25.75521088;-25.817272186279297;-8.840199471;-8.734228134155273;2.71282386;-3.765291691;1.954188357
171929.04;-25.8211441;-25.877422332763672;-8.735557556;-8.633017539978027;2.64689064;-3.660649776;2.058830272
172029.04;-25.89778709;-25.947690963745117;-8.631861687;-8.534616470336914;2.57024765;-3.556953907;2.162526141
172129.04;-25.97951126;-26.024078369140625;-8.537589073;-8.44269847869873;2.48852348;-3.462681293;2.256798755
172229.04;-26.07397842;-26.112905502319336;-8.449217796;-8.35862922668457;2.39405632;-3.374310017;2.345170032
172329.04;-26.17269135;-26.20661735534668;-8.370557785;-8.281469345092773;2.29534339;-3.295650005;2.423830043
172429.04;-26.27871513;-26.307384490966797;-8.302588463;-8.217228889465332;2.18931961;-3.227680683;2.491799365
172529.04;-26.38865662;-26.412702560424805;-8.247934341;-8.163485527038574;2.07937812;-3.173026562;2.546453487
172629.04;-26.50480461;-26.524368286132812;-8.203338623;-8.121833801269531;1.96323013;-3.128430843;2.591049205
172729.04;-26.62070656;-26.636022567749023;-8.172370911;-8.091126441955566;1.84732818;-3.097463131;2.622016917
172829.04;-26.73953247;-26.75105857849121;-8.149104118;-8.07008171081543;1.72850227;-3.074196339;2.64528371
172929.04;-26.85630798;-26.864093780517578;-8.135346413;-8.056333541870117;1.61172676;-3.060438633;2.659041415
173029.04;-26.97857666;-26.983232498168945;-8.141086578;-8.064068794250488;1.48945808;-3.066178799;2.65330125
173129.04;-27.09785843;-27.100074768066406;-8.158446312;-8.079887390136719;1.37017631;-3.083538532;2.635941516
173229.04;-27.22070503;-27.22118377685547;-8.185005188;-8.106939315795898;1.24732971;-3.110097408;2.60938264
173329.04;-27.33656502;-27.33527946472168;-8.222243309;-8.14199447631836;1.13146972;-3.147335529;2.572144519
173429.04;-27.44930458;-27.446882247924805;-8.271401405;-8.191537857055664;1.01873016;-3.196493626;2.522986423
173529.04;-27.55444717;-27.550823211669922;-8.330190659;-8.248059272766113;0.91358757;-3.255282879;2.464197169
173629.04;-27.65641975;-27.6522216796875;-8.397723198;-8.31589412689209;0.81161499;-3.322815418;2.39666463
173729.04;-27.74705505;-27.741785049438477;-8.473067284;-8.389442443847656;0.72097969;-3.398159504;2.321320544
173829.04;-27.83471107;-27.828840255737305;-8.557096481;-8.474514961242676;0.63332367;-3.482188702;2.237291347
